de.gematik.pki.pkits.testsuite.approval.CertificateApprovalTests
  verifyUseCaseCertsInvalid   GS-A_4652, GS-A_4654, GS-A_4655, GS-A_4656, GS-A_4657, GS-A_4661, GS-A_4663, RFC 5280
  verifyUseCaseCertsNotInTsl  GS-A_4652, GS-A_4654, GS-A_4656, GS-A_4657, GS-A_4663
  verifyUseCaseCertsValid     A_17124, GS-A_4357, GS-A_4385, GS-A_4652, GS-A_4663
  verifyUseCaseRsaCertValid   GS-A_4357, GS-A_4384

de.gematik.pki.pkits.testsuite.approval.OcspApprovalTests
  verifyForCaCertificateWithoutServiceSupplyPoint    GS-A_4656, GS-A_4657
  verifyHashAlgorithmsInOcspSha1                     GS-A_4657, RFC 6960
  verifyHashAlgorithmsInOcspShaVersion               GS-A_4657, GS-A_4674, RFC 6960
  verifyInvalidCerIdInOcspResponse                   GS-A_4657
  verifyInvalidCertHashInOcspResponse                GS-A_4657
  verifyInvalidSignatureInOcspResponse               GS-A_4657
  verifyMissingCertHashInOcspResponse                GS-A_4657
  verifyMissingOcspSignerInTslForUseCaseCertificate  GS-A_4657
  verifyOcspCertificateStatusRevokedAndUnknown       GS-A_4657
  verifyOcspGracePeriod                              A_22290, GS-A_4657, GS-A_4943
  verifyOcspRequestStructure                         GS-A_4657, GS-A_4674, RFC 5019, RFC 6960
  verifyOcspResponseMissingNextUpdate                GS-A_4657, GS-A_5215
  verifyOcspResponseResponderIdByName                RFC 6960
  verifyOcspResponseTimeoutAndDelay                  GS-A_4657
  verifyOcspResponseVariousStatusAndResponseBytes    GS-A_4657
  verifyOcspResponseWithNullParameterInCertId        RFC 5280, RFC 6960

de.gematik.pki.pkits.testsuite.approval.OcspToleranceApprovalTests
  verifyOcspResponseNextUpdatePastOutOfTolerance     GS-A_4657, GS-A_5215
  verifyOcspResponseNextUpdatePastWithinTolerance    GS-A_4657, GS-A_5215
  verifyOcspResponseProducedAtFutureOutOfTolerance   A_23225, GS-A_4657, GS-A_5215
  verifyOcspResponseProducedAtFutureWithinTolerance  A_23225, GS-A_4657, GS-A_5215
